date/time start (UTC),date/time end (UTC),summary,location,description,hashtags,TV channels (UK),TV
2025-07-02 17:00:00,2025-07-02 19:00:00,Iceland v Finland,"Arena Thun, Thun",1th game of the Women's Euro 2025 competition between Iceland and Finland,"#iceland,#finland",ITV,"{""ISL"": ""R\u00daV"", ""FIN"": ""YLE""}"
2025-07-02 20:00:00,2025-07-02 22:00:00,Switzerland v Norway,"St. Jakob‑Park, Basel",2th game of the Women's Euro 2025 competition between Switzerland and Norway,"#switzerland,#norway",BBC,"{""SUI"": ""RTS,SRF,RSI""}"
2025-07-03 16:00:00,2025-07-03 18:00:00,Belgium v Italy,"Stade de Tourbillon, Sion",3th game of the Women's Euro 2025 competition between Belgium and Italy,"#belgium,#italy",BBC or ITV,{}
2025-07-03 19:00:00,2025-07-03 21:00:00,Spain v Portugal,"Stadion Wankdorf, Bern",4th game of the Women's Euro 2025 competition between Spain and Portugal,"#spain,#portugal",BBC or ITV,{}
2025-07-04 16:00:00,2025-07-04 18:00:00,Denmark v Sweden,"Stade de Genève, Geneva",5th game of the Women's Euro 2025 competition between Denmark and Sweden,"#denmark,#sweden",BBC or ITV,{}
2025-07-04 19:00:00,2025-07-04 21:00:00,Germany v Poland,"Arena St. Gallen, St Gallen",6th game of the Women's Euro 2025 competition between Germany and Poland,"#germany,#poland",BBC or ITV,{}
2025-07-05 16:00:00,2025-07-05 18:00:00,Wales v Netherlands,"Allmend Stadion, Lucerne",7th game of the Women's Euro 2025 competition between Wales and Netherlands,"#wales,#netherlands",BBC,"{""WAL"": ""BBC,ITV""}"
2025-07-05 19:00:00,2025-07-05 21:00:00,France v England,"Stadion Letzigrund, Zurich",8th game of the Women's Euro 2025 competition between France and England,"#france,#england",BBC or ITV,"{""FRA"": ""TF1,France T\u00e9l\u00e9visions"", ""ENG"": ""BBC,ITV""}"
2025-07-06 16:00:00,2025-07-06 18:00:00,Norway v Finland,"Stade de Tourbillon, Sion",9th game of the Women's Euro 2025 competition between Norway and Finland,"#norway,#finland",BBC or ITV,"{""FIN"": ""YLE""}"
2025-07-06 19:00:00,2025-07-06 21:00:00,Switzerland v Iceland,"Stadion Wankdorf, Bern",10th game of the Women's Euro 2025 competition between Switzerland and Iceland,"#switzerland,#iceland",BBC or ITV,"{""SUI"": ""RTS,SRF,RSI"", ""ISL"": ""R\u00daV""}"
2025-07-07 16:00:00,2025-07-07 18:00:00,Spain v Belgium,"Arena Thun, Thun",11th game of the Women's Euro 2025 competition between Spain and Belgium,"#spain,#belgium",BBC or ITV,{}
2025-07-07 19:00:00,2025-07-07 21:00:00,Portugal v Italy,"Stade de Genève, Geneva",12th game of the Women's Euro 2025 competition between Portugal and Italy,"#portugal,#italy",BBC or ITV,{}
2025-07-08 16:00:00,2025-07-08 18:00:00,Germany v Denmark,"St. Jakob‑Park, Basel",13th game of the Women's Euro 2025 competition between Germany and Denmark,"#germany,#denmark",BBC or ITV,{}
2025-07-08 19:00:00,2025-07-08 21:00:00,Poland v Sweden,"Allmend Stadion, Lucerne",14th game of the Women's Euro 2025 competition between Poland and Sweden,"#poland,#sweden",BBC or ITV,{}
2025-07-09 16:00:00,2025-07-09 18:00:00,England v Netherlands,"Stadion Letzigrund, Zurich",15th game of the Women's Euro 2025 competition between England and Netherlands,"#england,#netherlands",BBC,"{""ENG"": ""BBC,ITV""}"
2025-07-09 19:00:00,2025-07-09 21:00:00,France v Wales,"Arena St. Gallen, St Gallen",16th game of the Women's Euro 2025 competition between France and Wales,"#france,#wales",BBC or ITV,"{""FRA"": ""TF1,France T\u00e9l\u00e9visions"", ""WAL"": ""BBC,ITV""}"
2025-07-10 19:00:00,2025-07-10 21:00:00,Finland v Switzerland,"Stade de Genève, Geneva",17th game of the Women's Euro 2025 competition between Finland and Switzerland,"#finland,#switzerland",BBC or ITV,"{""FIN"": ""YLE"", ""SUI"": ""RTS,SRF,RSI""}"
2025-07-10 19:00:00,2025-07-10 21:00:00,Norway v Iceland,"Arena Thun, Thun",18th game of the Women's Euro 2025 competition between Norway and Iceland,"#norway,#iceland",BBC or ITV,"{""ISL"": ""R\u00daV""}"
2025-07-11 19:00:00,2025-07-11 21:00:00,Italy v Spain,"Stadion Wankdorf, Bern",19th game of the Women's Euro 2025 competition between Italy and Spain,"#italy,#spain",BBC or ITV,{}
2025-07-11 19:00:00,2025-07-11 21:00:00,Portugal v Belgium,"Stade de Tourbillon, Sion",20th game of the Women's Euro 2025 competition between Portugal and Belgium,"#portugal,#belgium",BBC or ITV,{}
2025-07-12 19:00:00,2025-07-12 21:00:00,Sweden v Germany,"Stadion Letzigrund, Zurich",21th game of the Women's Euro 2025 competition between Sweden and Germany,"#sweden,#germany",BBC or ITV,{}
2025-07-12 19:00:00,2025-07-12 21:00:00,Poland v Denmark,"Allmend Stadion, Lucerne",22th game of the Women's Euro 2025 competition between Poland and Denmark,"#poland,#denmark",BBC or ITV,{}
2025-07-13 19:00:00,2025-07-13 21:00:00,Netherlands v France,"St. Jakob‑Park, Basel",23th game of the Women's Euro 2025 competition between Netherlands and France,"#netherlands,#france",BBC or ITV,"{""FRA"": ""TF1,France T\u00e9l\u00e9visions""}"
2025-07-13 19:00:00,2025-07-13 21:00:00,England v Wales,"Arena St. Gallen, St Gallen",24th game of the Women's Euro 2025 competition between England and Wales,"#england,#wales",ITV,"{""ENG"": ""BBC,ITV"", ""WAL"": ""BBC,ITV""}"
2025-07-16 19:00:00,2025-07-16 21:00:00,Winner Group A v Runner-up Group B,"Stade de Genève, Geneva",25th game of the Women's Euro 2025 competition between Winner Group A and Runner-up Group B,"#winnergroupa,#runner-upgroupb",BBC or ITV,{}
2025-07-17 19:00:00,2025-07-17 21:00:00,Winner Group C v Runner-up Group D,"Stadion Letzigrund, Zurich",26th game of the Women's Euro 2025 competition between Winner Group C and Runner-up Group D,"#winnergroupc,#runner-upgroupd",BBC or ITV,{}
2025-07-18 19:00:00,2025-07-18 21:00:00,Winner Group B v Runner-up Group A,"Stadion Wankdorf, Bern",27th game of the Women's Euro 2025 competition between Winner Group B and Runner-up Group A,"#winnergroupb,#runner-upgroupa",BBC or ITV,{}
2025-07-19 19:00:00,2025-07-19 21:00:00,Winner Group D v Runner-up Group C,"St. Jakob‑Park, Basel",28th game of the Women's Euro 2025 competition between Winner Group D and Runner-up Group C,"#winnergroupd,#runner-upgroupc",BBC or ITV,{}
2025-07-22 19:00:00,2025-07-22 21:00:00,Winner QF1 v Winner QF3,"Stade de Genève, Geneva",29th game of the Women's Euro 2025 competition between Winner QF1 and Winner QF3,"#winnerqf1,#winnerqf3",BBC or ITV,{}
2025-07-23 19:00:00,2025-07-23 21:00:00,Winner QF2 v Winner QF4,"Stadion Letzigrund, Zurich",30th game of the Women's Euro 2025 competition between Winner QF2 and Winner QF4,"#winnerqf2,#winnerqf4",BBC or ITV,{}
2025-07-27 16:00:00,2025-07-27 18:00:00,Winners SF1 v SF2,"St. Jakob‑Park, Basel",31th game of the Women's Euro 2025 competition between Winners SF1 and SF2,"#winnerssf1,#sf2",BBC or ITV,{}
